District,lat,long
Achham,29.09181279,81.31707255
Arghakhanchi,27.90779334,83.06585909
Baglung,28.33975247,83.2731612
Baitadi,29.48338045,80.53566864
Bajhang,29.70710581,81.14117632
Bajura,29.56558569,81.5497582
Banke,28.12605255,81.79981157
Bara,27.13540854,85.06475248
Bardiya,28.33694949,81.46126455
Bhaktapur,27.66294721,85.43855603
Bhojpur,27.21832031,87.06666799
Chitawan,27.54995278,84.36548036
Dadeldhura,29.22747472,80.48540118
Dailekh,28.89826774,81.67159209
Dang,27.97841875,82.43814156
Darchula,29.89271094,80.74136106
Dhading,27.9527537,84.98055863
Dhankuta,26.97426594,87.36675537
Dhanusa,26.79587245,86.00721975
Dolakha,27.82352203,86.19576072
Dolpa,29.25286365,83.07811054
Doti,29.17612357,80.88531019
Gorkha,28.28884046,84.78048444
Gulmi,28.08755407,83.30920208
Humla,30.03513341,81.89063467
Ilam,26.8560453,87.9452083
Jajarkot,28.86798437,82.1977929
Jhapa,26.57197501,87.95532113
Jumla,29.2728938,82.20976273
Kailali,28.76091877,80.82634991
Kalikot,29.21307603,81.76873832
Kanchanpur,28.83479468,80.38209033
Kapilbastu,27.62216856,82.9780085
Kaski,28.30661651,84.01052734
Kathmandu,27.7328855,85.35042992
Kavrepalanchok,27.52503681,85.616478
Khotang,27.10524151,86.76344684
Lalitpur,27.58871791,85.3453208
Lamjung,28.23682669,84.41790176
Mahottari,26.85777117,85.82059516
Makwanpur,27.43988382,85.11702565
Manang,28.69469101,84.2357415
Morang,26.58315547,87.45387395
Mugu,29.6346044,82.35940378
Mustang,29.02209022,83.88796267
Myagdi,28.52877381,83.47535629
Nawalparasi,27.66476736,83.93892312
Nuwakot,27.87213818,85.20553279
Okhaldhunga,27.32850363,86.41723305
Palpa,27.82143756,83.61908522
Panchthar,27.05953098,87.82000369
Parbat,28.19805363,83.67436777
Parsa,27.18232286,84.76011359
Pyuthan,28.09437706,82.88362705
Ramechhap,27.45389329,86.17446896
Rasuwa,28.21369528,85.45366507
Rautahat,27.03243961,85.29121681
Rolpa,28.32571386,82.61625263
Rukum,28.69237626,82.66341805
Rupandehi,27.55443071,83.38330337
Salyan,28.37833876,82.12383472
Sankhuwasabha,27.52454419,87.29855621
Saptari,26.59685229,86.73725506
Sarlahi,26.96581113,85.5617024
Sindhuli,27.21085578,85.90028129
Sindhupalchok,27.94899924,85.75847357
Siraha,26.6852784,86.32651559
Solukhumbu,27.75423434,86.69879175
Sunsari,26.68353642,87.1812749
Surkhet,28.6672745,81.55422455
Syangja,28.01170542,83.77998363
Tanahu,27.94887859,84.23370592
Taplejung,27.61858869,87.85666093
Terhathum,27.13350032,87.55401564
Udayapur,26.89706243,86.62430815
